model,event_id,forecast_mean,outcome,brier
gpt-5,ao_2018_cilic,0.0,0.0,0.0
gpt-5,ao_2018_federer,0.93,1.0,0.004899999999999993
gpt-5,apple_1t_no,0.0,0.0,0.0
gpt-5,apple_1t_yes,1.0,1.0,0.0
gpt-5,arg_2023_massa,0.0,0.0,0.0
gpt-5,arg_2023_milei,1.0,1.0,0.0
gpt-5,austrian_2017_hofer,0.0,0.0,0.0
gpt-5,austrian_2017_vdb,1.0,1.0,0.0
gpt-5,ba_2017_affleck,1.0,1.0,0.0
gpt-5,ba_2017_garfield,0.0,0.0,0.0
gpt-5,ba_2018_chalamet,0.0,0.0,0.0
gpt-5,ba_2018_oldman,1.0,1.0,0.0
gpt-5,ba_2024_giamatti,0.0,0.0,0.0
gpt-5,ba_2024_murphy,1.0,1.0,0.0
gpt-5,bact_2017_huppert,0.0,0.0,0.0
gpt-5,bact_2017_stone,1.0,1.0,0.0
gpt-5,bact_2018_mcdormand,1.0,1.0,0.0
gpt-5,bact_2018_ronan,0.008,0.0,6.4e-05
gpt-5,bavaria_2018_csu_largest,1.0,1.0,0.0
gpt-5,bavaria_2018_greens_largest,0.0,0.0,0.0
gpt-5,bd_2017_chazelle,1.0,1.0,0.0
gpt-5,bd_2017_jenkins,0.0,0.0,0.0
gpt-5,bd_2018_deltoro,0.993,1.0,4.9000000000000087e-05
gpt-5,bd_2018_nolan,0.0,0.0,0.0
gpt-5,bd_2024_nolan,1.0,1.0,0.0
gpt-5,bd_2024_scorsese,0.0,0.0,0.0
gpt-5,bitcoin_above_1k_eoy_2017,1.0,1.0,0.0
gpt-5,box_2017_15b,0.034999999999999996,0.0,0.0012249999999999997
gpt-5,box_2017_1b,0.9970000000000001,1.0,8.99999999999935e-06
gpt-5,box_2017_2b,0.017,0.0,0.00028900000000000003
gpt-5,box_2017_500m,0.9974000000000001,1.0,6.759999999999666e-06
gpt-5,box_2018_15b,1.0,1.0,0.0
gpt-5,box_2018_1b,1.0,1.0,0.0
gpt-5,box_2018_2b,1.0,1.0,0.0
gpt-5,box_2018_500m,1.0,1.0,0.0
gpt-5,box_2024_15b,0.998,1.0,4.0000000000000074e-06
gpt-5,box_2024_1b,1.0,1.0,0.0
gpt-5,box_2024_2b,0.013000000000000001,0.0,0.00016900000000000004
gpt-5,box_2024_500m,1.0,1.0,0.0
gpt-5,bp_2017_lalaland,0.0,0.0,0.0
gpt-5,bp_2017_moonlight,1.0,1.0,0.0
gpt-5,bp_2024_anatomy,0.0,0.0,0.0
gpt-5,bp_2024_oppenheimer,1.0,1.0,0.0
gpt-5,braz_2018_bolso,1.0,1.0,0.0
gpt-5,braz_2018_haddad,0.0,0.0,0.0
gpt-5,braz_2018_margin_15,0.0,0.0,0.0
gpt-5,braz_2018_margin_25,0.0,0.0,0.0
gpt-5,braz_2018_margin_3,1.0,1.0,0.0
gpt-5,braz_2018_margin_8,1.0,1.0,0.0
gpt-5,cake_2018_baker,1.0,1.0,0.0
gpt-5,cake_2018_couple,0.0,0.0,0.0
gpt-5,carp_2018_no_warrant,0.0,0.0,0.0
gpt-5,carp_2018_warrant,1.0,1.0,0.0
gpt-5,cat_legal_no_recognition,1.0,1.0,0.0
gpt-5,cat_legal_yes,0.002,0.0,4e-06
gpt-5,conj_amlo_AND_bolso,1.0,1.0,0.0
gpt-5,conj_astros_AND_dodgers_ws_2017,0.0,0.0,0.0
gpt-5,conj_astros_AND_patriots,0.0,0.0,0.0
gpt-5,conj_bolso_AND_haddad,0.0,0.0,0.0
gpt-5,conj_btc20k_AND_dow25k,0.0,0.0,0.0
gpt-5,conj_btc5k_AND_eth500,1.0,1.0,0.0
gpt-5,conj_btc_10k_AND_dow_25k_eoy_2017,0.0,0.0,0.0
gpt-5,conj_btc_10k_AND_eth_500_eoy_2017,1.0,1.0,0.0
gpt-5,conj_btc_20k_AND_eth_1k_eoy_2017,0.0,0.0,0.0
gpt-5,conj_btc_2k_AND_5k_2017,1.0,1.0,0.0
gpt-5,conj_btc_5k_AND_10k_2017,1.0,1.0,0.0
gpt-5,conj_comey_AND_mueller,1.0,1.0,0.0
gpt-5,conj_doug_AND_eagles,1.0,1.0,0.0
gpt-5,conj_eagles_AND_pats_sb_2018,0.0,0.0,0.0
gpt-5,conj_eclipse_AND_cassini,1.0,1.0,0.0
gpt-5,conj_eth1k_AND_btc20k,0.0,0.0,0.0
gpt-5,conj_eth500_AND_btc5k,1.0,1.0,0.0
gpt-5,conj_eth700_AND_btc10k,1.0,1.0,0.0
gpt-5,conj_federer17_AND_djok18,1.0,1.0,0.0
gpt-5,conj_france_wc_AND_eagles_sb_2018,1.0,1.0,0.0
gpt-5,conj_france_wc_AND_macron,1.0,1.0,0.0
gpt-5,conj_france_wc_AND_real_ucl_2018,1.0,1.0,0.0
gpt-5,conj_harvey_AND_irma,1.0,1.0,0.0
gpt-5,conj_kim_AND_iran,1.0,1.0,0.0
gpt-5,conj_liverpool_AND_real_ucl,0.0,0.0,0.0
gpt-5,conj_macron_AND_cdu_2017,1.0,1.0,0.0
gpt-5,conj_macron_AND_lepen_2017,0.0,0.0,0.0
gpt-5,conj_macron_AND_merkel_2017,1.0,1.0,0.0
gpt-5,conj_macron_AND_pats,0.0,0.0,0.0
gpt-5,conj_milei_AND_trump2024,0.7220000000000001,1.0,0.07728399999999995
gpt-5,conj_milei_AND_uk_labour,1.0,1.0,0.0
gpt-5,conj_nk_AND_catalonia,1.0,1.0,0.0
gpt-5,conj_nk_AND_iran,1.0,1.0,0.0
gpt-5,conj_tax_AND_doug,1.0,1.0,0.0
gpt-5,conj_tess_AND_kim,1.0,1.0,0.0
gpt-5,conj_trump2024_AND_eo_signed_2017,0.613,1.0,0.149769
gpt-5,conj_trump2024_AND_uk_labour,0.639,1.0,0.130321
gpt-5,conj_trump_AND_harris_2024,0.0,0.0,0.0
gpt-5,conj_warriors_2017_AND_2018,1.0,1.0,0.0
gpt-5,cpi_2017_above_1,1.0,1.0,0.0
gpt-5,cpi_2017_above_2,1.0,1.0,0.0
gpt-5,cpi_2017_above_3,0.0,0.0,0.0
gpt-5,cpi_2017_above_4,0.003,0.0,9e-06
gpt-5,czech_2017_ano,1.0,1.0,0.0
gpt-5,czech_2017_civic,0.0,0.0,0.0
gpt-5,dow_close_20k_eoy_2017,1.0,1.0,0.0
gpt-5,dow_close_22k_eoy_2017,1.0,1.0,0.0
gpt-5,dow_close_23k_eoy_2017,1.0,1.0,0.0
gpt-5,dow_close_24k_eoy_2017,1.0,1.0,0.0
gpt-5,dow_close_25k_eoy_2017,0.0,0.0,0.0
gpt-5,eagles_wins_atleast_1_2017,1.0,1.0,0.0
gpt-5,eth_above_1000_eoy_2017,0.0,0.0,0.0
gpt-5,eth_above_200_eoy_2017,1.0,1.0,0.0
gpt-5,eth_above_300_eoy_2017,1.0,1.0,0.0
gpt-5,eth_above_500_eoy_2017,1.0,1.0,0.0
gpt-5,eth_above_700_eoy_2017,1.0,1.0,0.0
gpt-5,fo_2017_nadal,1.0,1.0,0.0
gpt-5,fo_2017_wawrinka,0.0,0.0,0.0
gpt-5,fr_2024_nfp_seats,1.0,1.0,0.0
gpt-5,fr_2024_rn_seats,0.0,0.0,0.0
gpt-5,fr_pres_2017_margin_10,1.0,1.0,0.0
gpt-5,fr_pres_2017_margin_20,1.0,1.0,0.0
gpt-5,fr_pres_2017_margin_3,1.0,1.0,0.0
gpt-5,fr_pres_2017_margin_35,0.0,0.0,0.0
gpt-5,france_wc2018_advances_group,0.9870000000000001,1.0,0.0001689999999999974
gpt-5,ftse_8000_no,1.0,1.0,0.0
gpt-5,ftse_8000_yes,0.0,0.0,0.0
gpt-5,german_2017_cdu,1.0,1.0,0.0
gpt-5,german_2017_spd,0.0,0.0,0.0
gpt-5,hurricane_atl_2017_atleast_10,0.985,1.0,0.0002250000000000004
gpt-5,hurricane_atl_2017_atleast_13,1.0,1.0,0.0
gpt-5,hurricane_atl_2017_atleast_16,1.0,1.0,0.0
gpt-5,hurricane_atl_2017_atleast_19,0.04,0.0,0.0016
gpt-5,italian_2018_centerright,1.0,1.0,0.0
gpt-5,italian_2018_m5s,1.0,0.0,1.0
gpt-5,italy_qualifies_wc2018,0.0,0.0,0.0
gpt-5,janus_2018_def,0.0,0.0,0.0
gpt-5,janus_2018_pl,0.99,1.0,0.00010000000000000018
gpt-5,kenya_2017_kenyatta,1.0,1.0,0.0
gpt-5,kenya_2017_odinga,0.0,0.0,0.0
gpt-5,ltc_300_no,0.0,0.0,0.0
gpt-5,ltc_300_yes,1.0,1.0,0.0
gpt-5,macron_runoff_candidate_2017,1.0,1.0,0.0
gpt-5,mex_2018_amlo,1.0,1.0,0.0
gpt-5,mex_2018_anaya,0.0,0.0,0.0
gpt-5,mex_2018_margin_15,1.0,1.0,0.0
gpt-5,mex_2018_margin_25,1.0,1.0,0.0
gpt-5,mex_2018_margin_40,0.0,0.0,0.0
gpt-5,mex_2018_margin_5,1.0,1.0,0.0
gpt-5,mueller_continues_eoy_2018,0.999,1.0,1.0000000000000019e-06
gpt-5,nba2017_games_4,1.0,1.0,0.0
gpt-5,nba2017_games_4_sweep,0.0,0.0,0.0
gpt-5,nba2017_games_4_sweep_strict,0.0,0.0,0.0
gpt-5,nba2017_games_5,1.0,1.0,0.0
gpt-5,nba_2017_cavs,0.0,0.0,0.0
gpt-5,nba_2017_gsw,1.0,1.0,0.0
gpt-5,nba_finals_2017_cavs,0.0,0.0,0.0
gpt-5,nba_finals_2017_warriors,1.0,1.0,0.0
gpt-5,nba_finals_2018_cavs,0.021,0.0,0.00044100000000000004
gpt-5,nba_finals_2018_warriors,0.58,1.0,0.17640000000000003
gpt-5,nba_mvp_2018_harden,1.0,1.0,0.0
gpt-5,nba_mvp_2018_lebron,0.0,0.0,0.0
gpt-5,nfl_mvp_2017_brady,1.0,1.0,0.0
gpt-5,nfl_mvp_2017_other_qb,0.0,0.0,0.0
gpt-5,nfl_mvp_2017_wentz,0.0,0.0,0.0
gpt-5,nfl_mvp_2018_mahomes,1.0,1.0,0.0
gpt-5,nfl_mvp_2018_other_qb,0.0,0.0,0.0
gpt-5,nhl_2017_pens,1.0,1.0,0.0
gpt-5,nhl_2017_preds,0.04,0.0,0.0016
gpt-5,nhl_2018_caps,1.0,1.0,0.0
gpt-5,nhl_2018_vgk,0.0,0.0,0.0
gpt-5,nl_2017_pvv,0.0,0.0,0.0
gpt-5,nl_2017_vvd,1.0,1.0,0.0
gpt-5,no_2017_conservative,0.0,0.0,0.0
gpt-5,no_2017_labour,1.0,1.0,0.0
gpt-5,nobecon_2017_shiller,0.0,0.0,0.0
gpt-5,nobecon_2017_thaler,1.0,1.0,0.0
gpt-5,nobecon_2018_acemoglu,0.0,0.0,0.0
gpt-5,nobecon_2018_nordhaus,1.0,1.0,0.0
gpt-5,noblit_2017_atwood,0.0,0.0,0.0
gpt-5,noblit_2017_ishiguro,1.0,1.0,0.0
gpt-5,nobpeace_2024_hidankyo,0.009,1.0,0.982081
gpt-5,nobpeace_2024_unrwa,0.018,0.0,0.00032399999999999996
gpt-5,opp_noms_11,1.0,1.0,0.0
gpt-5,opp_noms_14,0.0,0.0,0.0
gpt-5,opp_noms_5,1.0,1.0,0.0
gpt-5,opp_noms_8,1.0,1.0,0.0
gpt-5,oscar_bp_2018_shapeofwater,1.0,1.0,0.0
gpt-5,oscar_bp_2018_threebillboards,0.0,0.0,0.0
gpt-5,pak_2018_pmln,0.0,0.0,0.0
gpt-5,pak_2018_pti,1.0,1.0,0.0
gpt-5,paspa_2018_strike,1.0,1.0,0.0
gpt-5,paspa_2018_uphold,0.0,0.0,0.0
gpt-5,patriots_reach_sblii,0.943,1.0,0.003249000000000006
gpt-5,real_madrid_ucl2018_reaches_final,0.944,1.0,0.0031360000000000055
gpt-5,rockets_2018_wins_45,1.0,1.0,0.0
gpt-5,rockets_2018_wins_55,1.0,1.0,0.0
gpt-5,rockets_2018_wins_60,1.0,1.0,0.0
gpt-5,rockets_2018_wins_70,0.0,0.0,0.0
gpt-5,sb_lii_coin_eagles,0.45,1.0,0.30250000000000005
gpt-5,sb_lii_coin_pats,0.5,0.0,0.25
gpt-5,sb_lviii_49ers,0.0,0.0,0.0
gpt-5,sb_lviii_chiefs,1.0,1.0,0.0
gpt-5,sblii_margin_14,0.0,0.0,0.0
gpt-5,sblii_margin_21,0.012,0.0,0.000144
gpt-5,sblii_margin_3,0.985,1.0,0.0002250000000000004
gpt-5,sblii_margin_7,1.0,1.0,0.0
gpt-5,sblviii_margin_1,1.0,1.0,0.0
gpt-5,sblviii_margin_14,0.0,0.0,0.0
gpt-5,sblviii_margin_3,1.0,1.0,0.0
gpt-5,sblviii_margin_7,0.0,0.0,0.0
gpt-5,scf_2017_pens,1.0,1.0,0.0
gpt-5,scf_2017_preds,0.0,0.0,0.0
gpt-5,sp_2700_no,1.0,1.0,0.0
gpt-5,sp_2700_yes,0.04,0.0,0.0016
gpt-5,sw_2018_sd_largest,0.0,0.0,0.0
gpt-5,sw_2018_socdem_largest,1.0,1.0,0.0
gpt-5,sw_noms_11,0.9800000000000001,1.0,0.0003999999999999963
gpt-5,sw_noms_14,0.005,0.0,2.5e-05
gpt-5,sw_noms_5,0.999,1.0,1.0000000000000019e-06
gpt-5,sw_noms_8,1.0,1.0,0.0
